stroke_id	 x	 y	 time	 is_writing
1.000000 	 711.405788 	 1446.609861 	 0.000000 	 1.000000 
1.000000 	 702.557183 	 1450.451047 	 32.000000 	 1.000000 
1.000000 	 689.501552 	 1457.309086 	 48.000000 	 1.000000 
1.000000 	 670.549551 	 1464.966727 	 64.000000 	 1.000000 
1.000000 	 646.329119 	 1470.766764 	 80.000000 	 1.000000 
1.000000 	 618.880843 	 1473.214358 	 112.000000 	 1.000000 
1.000000 	 589.861134 	 1472.003394 	 128.000000 	 1.000000 
1.000000 	 558.133906 	 1468.566599 	 144.000000 	 1.000000 
1.000000 	 529.150348 	 1464.629893 	 160.000000 	 1.000000 
1.000000 	 506.872570 	 1457.438633 	 176.000000 	 1.000000 
1.000000 	 490.849167 	 1445.617880 	 192.000000 	 1.000000 
1.000000 	 480.702970 	 1429.735849 	 208.000000 	 1.000000 
1.000000 	 476.444046 	 1410.721720 	 224.000000 	 1.000000 
1.000000 	 478.004656 	 1389.633766 	 256.000000 	 1.000000 
1.000000 	 485.606037 	 1369.136844 	 272.000000 	 1.000000 
1.000000 	 499.853154 	 1352.972876 	 288.000000 	 1.000000 
1.000000 	 519.868222 	 1339.816795 	 304.000000 	 1.000000 
1.000000 	 543.568904 	 1326.403122 	 320.000000 	 1.000000 
1.000000 	 572.556975 	 1305.271074 	 336.000000 	 1.000000 
1.000000 	 609.753801 	 1268.969084 	 352.000000 	 1.000000 
1.000000 	 649.272123 	 1227.854822 	 368.000000 	 1.000000 
1.000000 	 686.385880 	 1189.096247 	 384.000000 	 1.000000 
1.000000 	 718.560546 	 1153.205425 	 400.000000 	 1.000000 
1.000000 	 744.062286 	 1117.594294 	 416.000000 	 1.000000 
1.000000 	 761.781180 	 1079.765507 	 432.000000 	 1.000000 
1.000000 	 771.476724 	 1039.105674 	 448.000000 	 1.000000 
1.000000 	 773.698075 	 997.033625 	 464.000000 	 1.000000 
1.000000 	 769.371406 	 956.042194 	 480.000000 	 1.000000 
1.000000 	 759.400062 	 918.548350 	 496.000000 	 1.000000 
1.000000 	 744.512724 	 886.175617 	 512.000000 	 1.000000 
1.000000 	 725.361058 	 859.600441 	 528.000000 	 1.000000 
1.000000 	 702.751953 	 838.796475 	 544.000000 	 1.000000 
1.000000 	 677.856304 	 823.406695 	 560.000000 	 1.000000 
1.000000 	 652.193494 	 812.940182 	 576.000000 	 1.000000 
1.000000 	 627.309127 	 806.665104 	 608.000000 	 1.000000 
1.000000 	 604.331047 	 803.479846 	 608.000000 	 1.000000 
1.000000 	 583.722099 	 802.127911 	 640.000000 	 1.000000 
1.000000 	 565.421832 	 801.622036 	 656.000000 	 1.000000 
