stroke_id	 x	 y	 time	 is_writing
1.000000 	 483.954746 	 1145.015130 	 0.000000 	 1.000000 
1.000000 	 483.955029 	 1145.010069 	 32.000000 	 1.000000 
1.000000 	 484.061045 	 1143.112484 	 32.000000 	 1.000000 
1.000000 	 485.067706 	 1125.134080 	 64.000000 	 1.000000 
1.000000 	 487.765579 	 1077.301406 	 64.000000 	 1.000000 
1.000000 	 491.861786 	 1005.621787 	 96.000000 	 1.000000 
1.000000 	 496.522537 	 925.390677 	 96.000000 	 1.000000 
1.000000 	 501.030872 	 849.063826 	 128.000000 	 1.000000 
1.000000 	 504.983244 	 783.138066 	 128.000000 	 1.000000 
1.000000 	 508.238489 	 729.506439 	 160.000000 	 1.000000 
1.000000 	 510.812717 	 687.506970 	 160.000000 	 1.000000 
1.000000 	 512.794687 	 655.412226 	 192.000000 	 1.000000 
1.000000 	 514.294439 	 631.267465 	 192.000000 	 1.000000 
1.000000 	 515.419184 	 613.282317 	 224.000000 	 1.000000 
1.000000 	 516.235544 	 600.018375 	 256.000000 	 1.000000 
1.000000 	 516.492326 	 590.744371 	 256.000000 	 1.000000 
1.000000 	 515.242240 	 585.920298 	 288.000000 	 1.000000 
1.000000 	 511.353550 	 586.946861 	 288.000000 	 1.000000 
1.000000 	 504.743443 	 595.263074 	 320.000000 	 1.000000 
1.000000 	 496.964125 	 611.636913 	 320.000000 	 1.000000 
1.000000 	 490.644893 	 635.977760 	 352.000000 	 1.000000 
1.000000 	 488.469145 	 667.427520 	 352.000000 	 1.000000 
1.000000 	 492.617576 	 704.416183 	 384.000000 	 1.000000 
1.000000 	 504.887297 	 744.547431 	 384.000000 	 1.000000 
1.000000 	 526.702209 	 784.316083 	 416.000000 	 1.000000 
1.000000 	 558.321488 	 819.053894 	 416.000000 	 1.000000 
1.000000 	 597.732256 	 843.748494 	 448.000000 	 1.000000 
1.000000 	 640.454418 	 854.686243 	 448.000000 	 1.000000 
1.000000 	 680.795091 	 850.859116 	 480.000000 	 1.000000 
1.000000 	 713.766670 	 834.132101 	 480.000000 	 1.000000 
1.000000 	 736.422781 	 808.222770 	 512.000000 	 1.000000 
1.000000 	 748.049642 	 777.326209 	 512.000000 	 1.000000 
1.000000 	 749.537235 	 745.117265 	 544.000000 	 1.000000 
1.000000 	 742.573729 	 714.333994 	 544.000000 	 1.000000 
1.000000 	 729.082014 	 686.777172 	 576.000000 	 1.000000 
1.000000 	 710.989485 	 663.778021 	 576.000000 	 1.000000 
1.000000 	 690.280664 	 647.993978 	 608.000000 	 1.000000 
1.000000 	 668.700826 	 642.657574 	 608.000000 	 1.000000 
