stroke_id	 x	 y	 time	 is_writing
1.000000 	 357.039129 	 796.195086 	 0.000000 	 1.000000 
1.000000 	 356.647445 	 793.671018 	 78.000000 	 1.000000 
1.000000 	 356.045039 	 789.788586 	 111.000000 	 1.000000 
1.000000 	 355.184497 	 784.241572 	 144.000000 	 1.000000 
1.000000 	 354.033168 	 776.818456 	 161.000000 	 1.000000 
1.000000 	 352.580105 	 767.447131 	 194.000000 	 1.000000 
1.000000 	 350.839404 	 756.216613 	 211.000000 	 1.000000 
1.000000 	 348.849341 	 743.371793 	 227.000000 	 1.000000 
1.000000 	 346.357711 	 728.375482 	 244.000000 	 1.000000 
1.000000 	 342.509563 	 708.051053 	 261.000000 	 1.000000 
1.000000 	 338.971612 	 686.280946 	 278.000000 	 1.000000 
1.000000 	 336.222393 	 666.208472 	 294.000000 	 1.000000 
1.000000 	 333.955032 	 648.473920 	 311.000000 	 1.000000 
1.000000 	 331.984203 	 633.019400 	 328.000000 	 1.000000 
1.000000 	 330.262485 	 619.721498 	 338.000000 	 1.000000 
2.000000 	 443.094304 	 797.142271 	 638.000000 	 1.000000 
2.000000 	 443.092666 	 797.137234 	 693.000000 	 1.000000 
2.000000 	 443.044711 	 796.989720 	 729.000000 	 1.000000 
2.000000 	 442.676274 	 795.854885 	 745.000000 	 1.000000 
2.000000 	 441.363673 	 791.593144 	 779.000000 	 1.000000 
2.000000 	 438.744149 	 780.937185 	 795.000000 	 1.000000 
2.000000 	 435.760139 	 763.301163 	 812.000000 	 1.000000 
2.000000 	 432.100406 	 741.690550 	 846.000000 	 1.000000 
2.000000 	 426.568650 	 717.749491 	 862.000000 	 1.000000 
2.000000 	 419.789581 	 692.566589 	 879.000000 	 1.000000 
2.000000 	 412.891214 	 667.863953 	 896.000000 	 1.000000 
2.000000 	 406.571009 	 645.232559 	 912.000000 	 1.000000 
2.000000 	 401.135167 	 625.665388 	 929.000000 	 1.000000 
2.000000 	 396.667436 	 609.553416 	 946.000000 	 1.000000 
2.000000 	 393.137495 	 596.836905 	 963.000000 	 1.000000 
2.000000 	 390.458535 	 587.172584 	 1026.000000 	 1.000000 
2.000000 	 388.515680 	 580.074271 	 1081.000000 	 1.000000 
3.000000 	 316.830407 	 730.491207 	 1232.000000 	 1.000000 
3.000000 	 318.302344 	 730.176446 	 1297.000000 	 1.000000 
3.000000 	 320.946745 	 729.513468 	 1313.000000 	 1.000000 
3.000000 	 325.381962 	 728.167253 	 1347.000000 	 1.000000 
3.000000 	 332.208005 	 725.875542 	 1364.000000 	 1.000000 
3.000000 	 341.702608 	 722.764357 	 1380.000000 	 1.000000 
3.000000 	 353.669025 	 719.265572 	 1414.000000 	 1.000000 
3.000000 	 367.571410 	 715.759402 	 1430.000000 	 1.000000 
3.000000 	 382.758298 	 712.421811 	 1447.000000 	 1.000000 
3.000000 	 398.560745 	 709.303849 	 1464.000000 	 1.000000 
3.000000 	 414.321571 	 706.420299 	 1481.000000 	 1.000000 
3.000000 	 429.460764 	 703.772732 	 1497.000000 	 1.000000 
3.000000 	 443.554400 	 701.349820 	 1545.000000 	 1.000000 
4.000000 	 290.628681 	 619.220175 	 1794.000000 	 1.000000 
4.000000 	 290.629479 	 619.219803 	 1838.000000 	 1.000000 
4.000000 	 290.737224 	 619.169698 	 1865.000000 	 1.000000 
4.000000 	 291.983432 	 618.620995 	 1898.000000 	 1.000000 
4.000000 	 302.720507 	 614.823961 	 1915.000000 	 1.000000 
4.000000 	 334.360589 	 604.717280 	 1948.000000 	 1.000000 
4.000000 	 374.387621 	 593.365405 	 1982.000000 	 1.000000 
4.000000 	 409.972995 	 584.463744 	 2015.000000 	 1.000000 
4.000000 	 436.719154 	 578.159695 	 2032.000000 	 1.000000 
4.000000 	 454.743032 	 573.602397 	 2053.000000 	 1.000000 
